Codice;Descr;NostroPrezzo;MigliorPrezzo;Posizione;Differenza;PrezzoPer1Pos;PrezzoPiattOffSpec;PrezzoAcq;PrezzoMinimo;PrezzoMassimo;RicaricoCalcolato;Nota;PrezzoRicalcolato;MargineLimite;TipoRegola;Ranking;IdArtico;IdTyre24;IdOfferteSpec
1508016-DUN-631782            ;DUN. 150/80 B16 71 H TL D404                                                                        ;138,62;108,37;23.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;260912              ;null
1508016-DUN-635984            ;DUN. 150/80 B16 71 H TT D404R                                                                       ;144,18;113,33;17.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;621058              ;null
1508016-DUN-636025            ;DUNLOP D429 150/80 -16 71 H TL                                                                      ;186,17;161,23;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;617302              ;null
1508016-DUN-636555            ;DUN. 150/80 B16 71 H TL D404                                                                        ;138,62;133,77;2.        ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;877111              ;null
1508016-DUN-641398            ;DUNLOP D401T 150/80 B16 77H TL                                                                      ;173,15;146,04;14.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;890090              ;null
1508016-DUN-650752            ;DUN. 150/80 B16 71 H TT D404                                                                        ;185,04;139,52;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;12742               ;null
1508016-DUN-650755            ;DUN. 150/80- 16 71 H TT D404                                                                        ;138,1;110,25;16.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;9922                ;null
1508016-DUN-650920            ;DUN. 150/80 R16 71 V TL K700J                                                                       ;194,34;176,93;6.(1Pz)   ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;9928                ;null
1508016-DUN-652860            ;DUN. 150/80- 16 71 H TL D404F                                                                       ;149,99;122,65;19.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;12739               ;null
1508016-MET-3576500           ;MET. 150/80 B16 77 H TL RF CRUISETEC                                                                ;178,75;129,06;29.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;656282              ;null
1508016-MET-3576900           ;MET. 150/80 -16 71 H TL CRUISETEC                                                                   ;164,84;121,3;26.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;656303              ;null
1508016-MET-4195100           ;METZELER ME888 150/80 -16 71 H TL                                                                   ;164,84;127,09;18.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;799955              ;null
1508016-MIC-193056            ;MICH 150/80 B16 77 H TT/TL SCORCHER 31 REAR                                                         ;177,86;146,5;22.(1Pz)  ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;254764              ;null
1508016-MIC-797694            ;MIC. 150/80 B16 77 H TT/TL COMMANDER 3 C                                                            ;175,67;131,76;33.       ;null;null;null;null;null;null;null;null;null;null;null;48H       ;null;695792              ;null
