Articolo__r:Product2:External_Id__c;Codice_fornitore__c;Descrizione_fornitore__c;Ranking_fornitore__c;Disponibile__c;Impegnato__c;In_spedizione__c;Conto_deposito_fornitore_Distribuzione__c;Conto_deposito_fornitore_pdv__c;Costo__c;Prezzo_di_listino__c;Prezzo_PDV__c;PAC__c
94937;UNI;Univergomma;4;22;0;0;0;0;141.71;375.00;271.57;136.00
520042;UNI;Univergomma;3;1;0;0;0;0;157.76;289.00;250.29;129.76
511974;UNI;Univergomma;2;1;0;0;0;0;188.81;414.00;0;0.00
65928;UNI;Univergomma;3;9;0;0;0;0;144.39;282.00;250.21;129.69
94941;UNI;Univergomma;5;2;0;0;0;0;138.35;366.00;256.22;134.62
517212;UNI;Univergomma;4;2;0;0;0;0;174.13;450.00;294.75;166.20
510629;UNI;Univergomma;4;2;0;0;0;0;168.05;326.00;0;0.00
59864;UNI;Univergomma;4;14;0;0;0;0;153.54;418.00;291.27;152.17
521455;UNI;Univergomma;5;3;0;0;0;0;193.09;487.00;322.94;178.11
508526;UNI;Univergomma;3;16;0;0;0;0;171.37;342.00;265.43;162.33
517213;UNI;Univergomma;3;6;0;0;0;0;157.61;421.00;265.05;155.30
518915;UNI;Univergomma;2;6;0;0;0;0;190.81;383.00;332.63;197.25
50417;UNI;Univergomma;4;7;0;0;0;0;152.30;423.00;282.37;156.05
507664;UNI;Univergomma;1;12;0;0;0;0;154.96;423.00;282.37;156.05
59874;UNI;Univergomma;2;30;0;0;0;0;169.52;464.00;312.39;169.46
523286;UNI;Univergomma;2;22;0;0;0;0;172.99;288.00;249.74;129.31
39851;UNI;Univergomma;4;6;0;0;0;0;166.81;315.00;281.05;154.97
521382;UNI;Univergomma;5;14;0;0;0;0;161.10;416.00;279.16;153.42
59886;UNI;Univergomma;3;30;0;0;0;0;166.92;448.00;305.06;163.45
521383;UNI;Univergomma;3;7;0;0;0;0;120.09;332.00;218.03;121.83
59902;UNI;Univergomma;2;8;0;0;0;0;120.26;320.00;235.11;117.32
517170;UNI;Univergomma;2;16;0;0;0;0;160.07;450.00;305.97;164.20
50584;UNI;Univergomma;3;20;0;0;0;0;105.69;277.00;198.99;101.15
516122;UNI;Univergomma;1;2;0;0;0;0;125.11;250.50;0;0.00
97735;UNI;Univergomma;3;4;0;0;0;0;199.82;408.50;342.47;194.12
58616;UNI;Univergomma;5;2;0;0;0;0;233.57;380.00;362.82;222.00
65874;UNI;Univergomma;2;2;0;0;0;0;199.06;418.50;326.64;192.34
507645;UNI;Univergomma;5;1;0;0;0;0;184.87;507.00;332.12;185.63
50799;UNI;Univergomma;3;5;0;0;0;0;213.92;432.00;0;0.00
529381;UNI;Univergomma;3;7;0;0;0;0;204.33;555.00;354.14;203.68
65991;UNI;Univergomma;4;1;0;0;0;0;195.20;390.00;324.32;179.24
508386;UNI;Univergomma;5;8;0;0;0;0;207.13;406.00;333.3;186.60
507428;UNI;Univergomma;1;19;0;0;0;0;164.15;480.00;308.51;177.48
522855;UNI;Univergomma;1;1;0;0;0;0;123.91;259.00;0;0.00
62504;UNI;Univergomma;4;4;0;0;0;0;164.83;457.00;297.96;168.83
66501;UNI;Univergomma;4;4;0;0;0;0;163.29;327.00;281.05;168.41
58989;UNI;Univergomma;4;19;0;0;0;0;112.38;209.00;217.42;102.82
512469;UNI;Univergomma;2;4;0;0;0;0;192.52;498.00;300.37;184.25
522750;UNI;Univergomma;3;7;0;0;0;0;170.20;350.00;288.26;160.88
520679;UNI;Univergomma;5;2;0;0;0;0;161.56;301.00;272.64;148.08
520318;UNI;Univergomma;6;8;0;0;0;0;187.72;355.00;283.22;168.69
66434;UNI;Univergomma;4;5;0;0;0;0;160.72;320.50;285.43;147.36
501061;UNI;Univergomma;2;10;0;0;0;0;172.54;425.00;0;0.00
517209;UNI;Univergomma;3;2;0;0;0;0;204.49;571.00;333.86;211.70
51159;UNI;Univergomma;2;2;0;0;0;0;165.01;459.00;298.87;169.58
507429;UNI;Univergomma;4;6;0;0;0;0;202.65;592.00;371.11;217.59
521356;UNI;Univergomma;2;22;0;0;0;0;170.82;459.00;316.93;167.58
521174;UNI;Univergomma;1;2;0;0;0;0;147.21;233.50;230.99;134.10
521476;UNI;Univergomma;3;12;0;0;0;0;261.78;713.00;433.45;263.09
525959;UNI;Univergomma;2;4;0;0;0;0;243.11;667.00;405.51;245.79
59984;UNI;Univergomma;2;5;0;0;0;0;275.75;502.00;380.64;225.40
520828;UNI;Univergomma;6;8;0;0;0;0;302.90;616.50;428.02;292.96
39912;UNI;Univergomma;4;4;0;0;0;0;185.30;350.00;302.07;172.20
59523;UNI;Univergomma;1;4;0;0;0;0;212.85;576.00;352.55;213.58
96455;UNI;Univergomma;1;4;0;0;0;0;334.75;589.00;428.29;264.46
511961;UNI;Univergomma;4;8;0;0;0;0;329.83;589.00;428.29;264.46
507661;UNI;Univergomma;2;2;0;0;0;0;229.19;626.00;386.71;230.38
75346;UNI;Univergomma;4;24;0;0;0;0;190.34;512.00;341.24;187.51
59857;UNI;Univergomma;3;7;0;0;0;0;165.30;443.00;309.6;161.57
